country,continent,pop,area,ppp,hdi,lifeexp
Sweden,Europe,10099265,410340,547506.56,93.7,80.884
Switzerland,Europe,8654622,39516,590532.23,94.6,81.701
Tanzania,Africa,59734218,885800,145034.69,52.800000000000004,52.517
Thailand,Asia,69799978,510890,1283169.74,76.5,70.616
Togo,Africa,8278724,54390,12546.55,51.300000000000004,58.42
Trinidad and Tobago,America,1399488,5130,37405.11,79.9,69.819
Tunisia,Africa,11818619,155360,127327.21,73.9,73.923
Turkey,Europe,84339067,769630,2316406.55,80.7,71.777
Uganda,Africa,45741007,199810,78492.14,52.800000000000004,51.542
United Kingdom,Europe,68517621,257180,3124143.83,92,79.425
United States,America,334308644,9158020,20656920.46,92,78.242
Uruguay,America,3473730,175020,76287.37,80.80000000000001,76.384
Venezuela,America,28435940,882050,506339.38,72.6,73.747
Vietnam,Asia,97338579,310070,742462.14,69.3,74.249
Zambia,Africa,18383955,743390,62449.13,59.099999999999994,42.384
Zimbabwe,Africa,14862924,386850,48524.95,56.3,43.487
